School,Zip Code,City,State,Admissions Rate,Median ACT,Average SAT,# of Undergrads,Graduation Rate, Median Debt After Graduation , Median Salary (2-years post-graduation) ,Economic Connectedness
Western Carolina University,28723-9646,Cullowhee,NC,48.48%,23,1129,10387,63.63%," $22,492.00 "," $37,533.00 ",65.19%
Western Colorado University,81231,Gunnison,CO,88.50%,23,1110,1682,50.45%," $22,441.00 "," $34,914.00 ",82.21%
Western Connecticut State University,06810-6826,Danbury,CT,80.72%,Data Not Available,Data Not Available,4500,51.16%," $23,763.00 "," $42,888.00 ",84.56%
Western Governors University,84107,Salt Lake City,UT,Data Not Available,Data Not Available,Data Not Available,104919,46.92%," $11,248.00 "," $51,950.00 ",Data Not Available
Western Illinois University,61455,Macomb,IL,66.96%,21,1011,5854,46.16%," $25,047.00 "," $40,223.00 ",77.99%
Western Kentucky University,42101-1000,Bowling Green,KY,97.75%,23,1130,13086,52.31%," $22,500.00 "," $33,301.00 ",74.56%
Western Michigan University,49008-5200,Kalamazoo,MI,84.94%,24,1129,15706,56.69%," $26,000.00 "," $40,533.00 ",78.05%
Western Michigan University Homer Stryker M.D. School of Medicine,49007,Kalamazoo,MI,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Western Michigan University-Thomas M. Cooley Law School,48933,Lansing,MI,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available ," $52,429.00 ",Data Not Available
Western Nevada College,89703-7399,Carson City,NV,Data Not Available,Data Not Available,Data Not Available,2175,27.31%," $12,000.00 "," $32,100.00 ",48.01%
Western New England University,01119-2684,Springfield,MA,89.43%,Data Not Available,Data Not Available,2551,63.79%," $26,000.00 "," $52,274.00 ",86.52%
Western New Mexico University,88061,Silver City,NM,Data Not Available,Data Not Available,Data Not Available,1534,27.99%," $23,105.00 "," $28,635.00 ",31.10%
Western Oregon University,97361-1394,Monmouth,OR,79.14%,20,1055,3994,45.08%," $21,099.00 "," $37,645.00 ",74.52%
Western Seminary,97215-3367,Portland,OR,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Western Theological Seminary,49423-3622,Holland,MI,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Western University of Health Sciences,91766-1854,Pomona,CA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Western Washington University,98225-9008,Bellingham,WA,93.51%,25,1184,14121,67.54%," $18,993.00 "," $43,620.00 ",86.87%
Westfield State University,01086-1630,Westfield,MA,92.44%,22,1054,4343,63.09%," $23,250.00 "," $43,458.00 ",77.73%
Westminster College,16172,New Wilmington,PA,76.51%,Data Not Available,Data Not Available,1094,71.23%," $26,000.00 "," $39,785.00 ",88.90%
Westminster College,65251-1299,Fulton,MO,97.43%,23,1136,606,59.63%," $27,000.00 "," $39,516.00 ",73.16%
Westminster College,84105,Salt Lake City,UT,87.45%,25,1205,1415,69.08%," $22,959.00 "," $45,904.00 ",87.54%
Westminster Theological Seminary,19038,Glenside,PA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Westminster Theological Seminary in California,92027,Escondido,CA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Westmont College,93108-1089,Santa Barbara,CA,70.16%,28,1259,1226,72.00%," $23,250.00 "," $45,657.00 ",93.93%
Whatcom Community College,98226,Bellingham,WA,Data Not Available,Data Not Available,Data Not Available,1868,42.06%," $9,917.00 "," $34,572.00 ",61.58%
Wheaton College,60187-5593,Wheaton,IL,86.95%,29,1336,2228,87.62%," $23,000.00 "," $46,794.00 ",90.81%
Wheaton College (Massachusetts),02766-2322,Norton,MA,77.09%,30,1282,1666,77.54%," $26,816.00 "," $44,809.00 ",Data Not Available
Wheeling University,26003,Wheeling,WV,76.82%,20,1009,582,41.67%," $26,092.00 "," $41,179.00 ",81.20%
Whitman College,99362,Walla Walla,WA,54.13%,31,1360,1339,85.75%," $17,300.00 "," $42,773.00 ",91.47%
Whittier College,90601,Whittier,CA,72.33%,Data Not Available,Data Not Available,1488,63.40%," $25,000.00 "," $42,157.00 ",89.56%
Whitworth University,99251,Spokane,WA,91.01%,25,1171,2359,77.04%," $25,000.00 "," $42,602.00 ",84.66%
Whitworth University-Adult Degree Programs,99251,Spokane,WA,100.00%,Data Not Available,Data Not Available,262,Data Not Available," $25,000.00 "," $42,602.00 ",Data Not Available
Wichita State University,67260-0124,Wichita,KS,79.63%,24,1167,10770,48.43%," $21,250.00 "," $39,996.00 ",77.48%
Widener University,19013-5792,Chester,PA,74.58%,23,1126,2866,65.35%," $27,000.00 "," $53,312.00 ",84.51%
Wiley College,75670,Marshall,TX,Data Not Available,Data Not Available,Data Not Available,615,31.00%," $24,048.00 "," $22,670.00 ",56.97%
Wilkes University,18766,Wilkes-Barre,PA,91.77%,23,1137,2131,63.91%," $26,000.00 "," $51,153.00 ",84.89%
Willamette University,97301,Salem,OR,80.17%,Data Not Available,Data Not Available,1288,73.73%," $23,000.00 "," $44,327.00 ",86.00%
William & Mary,23187-8795,Williamsburg,VA,42.16%,32,1411,6217,91.25%," $19,022.00 "," $51,818.00 ",89.95%
William Carey University,39401,Hattiesburg,MS,55.28%,24,1172,2101,53.36%," $21,000.00 "," $33,051.00 ",60.79%
William James College,2459,Newton,MA,Data Not Available,Data Not Available,Data Not Available,30,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
William Jessup University,95765-3707,Rocklin,CA,65.21%,Data Not Available,Data Not Available,1279,52.58%," $22,334.00 "," $41,862.00 ",84.76%
William Jewell College,64068-1896,Liberty,MO,36.40%,24,1168,738,66.92%," $25,000.00 "," $47,164.00 ",89.33%
William Paterson University of New Jersey,7470,Wayne,NJ,80.62%,Data Not Available,Data Not Available,7936,55.54%," $23,000.00 "," $43,130.00 ",78.01%
William Peace University,27604-1194,Raleigh,NC,61.39%,21,1053,769,38.14%," $24,000.00 "," $35,274.00 ",68.95%
William Penn University,52577,Oskaloosa,IA,55.03%,Data Not Available,Data Not Available,1231,37.31%," $24,499.00 "," $37,570.00 ",71.91%
William Woods University,65251-2388,Fulton,MO,62.54%,Data Not Available,Data Not Available,837,52.38%," $21,500.00 "," $34,273.00 ",85.21%
Williams Baptist University,72476,Walnut Ridge,AR,69.30%,21,1088,580,37.80%," $21,000.00 "," $32,457.00 ",70.28%
Williams College,1267,Williamstown,MA,15.12%,Data Not Available,Data Not Available,1917,95.97%," $13,000.00 "," $59,277.00 ",92.36%
Williamson Christian College,37067,Franklin,TN,Data Not Available,Data Not Available,Data Not Available,47,0.00%, Data Not Available ," $29,966.00 ",Data Not Available
Wilmington College,45177,Wilmington,OH,72.72%,21,1083,1160,51.96%," $24,525.00 "," $38,512.00 ",80.49%
Wilmington University,19720,New Castle,DE,Data Not Available,Data Not Available,Data Not Available,8713,21.28%," $20,536.00 "," $42,573.00 ",Data Not Available
Wilson College,17201-1285,Chambersburg,PA,92.20%,21,1030,735,49.53%," $27,000.00 "," $31,612.00 ",79.12%
Winebrenner Theological Seminary,45840,Findlay,OH,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Wingate University,28174-0159,Wingate,NC,73.27%,Data Not Available,Data Not Available,2671,49.49%," $24,564.00 "," $38,647.00 ",72.81%
Winona State University,55987-5838,Winona,MN,75.18%,22,1118,6249,60.77%," $22,250.00 "," $45,279.00 ",89.16%
Winston-Salem State University,27110-0001,Winston-Salem,NC,72.52%,18,971,4560,50.00%," $25,000.00 "," $34,554.00 ",50.85%
Winthrop University,29733,Rock Hill,SC,63.94%,22,1072,4219,60.81%," $27,000.00 "," $35,336.00 ",67.85%
Wisconsin Lutheran College,53226-4699,Milwaukee,WI,95.62%,24,1172,983,64.09%," $26,000.00 "," $43,360.00 ",86.10%
Wisconsin School of Professional Psychology,53225-4960,Milwaukee,WI,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Wittenberg University,45504,Springfield,OH,97.43%,Data Not Available,Data Not Available,1413,62.98%," $27,000.00 "," $39,995.00 ",83.49%
Wofford College,29303-3663,Spartanburg,SC,53.00%,Data Not Available,Data Not Available,1760,80.49%," $25,558.00 "," $48,020.00 ",84.22%
Women's Institute of Torah Seminary and College,21215-3009,Baltimore,MD,80.77%,Data Not Available,Data Not Available,143,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Won Institute of Graduate Studies,18974,Warminster,PA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Wongu University of Oriental Medicine,89123-2836,Las Vegas,NV,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Woodbury University,91504-1052,Burbank,CA,70.40%,Data Not Available,Data Not Available,1019,60.28%," $27,000.00 "," $47,880.00 ",84.64%
Worcester Polytechnic Institute,01609-2280,Worcester,MA,59.05%,Data Not Available,Data Not Available,4804,88.99%," $27,000.00 "," $77,597.00 ",87.87%
Worcester State University,01602-2597,Worcester,MA,81.03%,25,1097,4648,58.56%," $20,000.00 "," $44,120.00 ",70.46%
World Mission University,90020,Los Angeles,CA,Data Not Available,Data Not Available,Data Not Available,178,40.00%, Data Not Available ," $19,798.00 ",Data Not Available
Wright Graduate University for the Realization of Human Potential,53121-2556,Elkhorn,WI,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Wright State University-Lake Campus,45822-2952,Celina,OH,99.61%,21,1085,1364,36.89%," $23,500.00 "," $36,906.00 ",Data Not Available
Wright State University-Main Campus,45435-0001,Dayton,OH,95.64%,22,1099,7768,43.43%," $23,500.00 "," $36,906.00 ",69.30%
Xavier University,45207-1092,Cincinnati,OH,81.22%,25,1198,5250,68.74%," $24,536.00 "," $48,268.00 ",84.99%
Xavier University of Louisiana,70125-1098,New Orleans,LA,80.62%,23,1112,2502,49.74%," $24,000.00 "," $35,999.00 ",69.83%
Yakima Valley College,98907-2520,Yakima,WA,Data Not Available,Data Not Available,Data Not Available,2966,28.44%," $12,500.00 "," $33,322.00 ",43.57%
Yale University,6520,New Haven,CT,6.53%,34,1520,4701,96.39%," $13,142.00 "," $72,046.00 ",86.23%
Yellowstone Christian College,59106-3303,Billings,MT,75.00%,19,1010,33,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Yeshiva Bais Aharon,08701-2053,Lakewood,NJ,87.50%,Data Not Available,Data Not Available,24,11.11%, Data Not Available , Data Not Available ,Data Not Available
Yeshiva Chemdas Hatorah,08701-4618,Lakewood,NJ,85.71%,Data Not Available,Data Not Available,74,73.68%, Data Not Available , Data Not Available ,Data Not Available
Yeshiva College of the Nations Capital,20902,Silver  Spring,MD,Data Not Available,Data Not Available,Data Not Available,31,33.33%, Data Not Available , Data Not Available ,Data Not Available
Yeshiva D'monsey Rabbinical College,10952,Monsey,NY,49.06%,Data Not Available,Data Not Available,71,100.00%, Data Not Available , Data Not Available ,Data Not Available
Yeshiva Derech Chaim,11218-0000,Brooklyn,NY,56.36%,Data Not Available,Data Not Available,84,18.18%, Data Not Available , Data Not Available ,Data Not Available
Yeshiva Gedola Tiferes Yaakov Yitzchok,08701-5502,Lakewood,NJ,50.00%,Data Not Available,Data Not Available,64,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Yeshiva Gedolah Imrei Yosef D'spinka,11219,Brooklyn,NY,Data Not Available,Data Not Available,Data Not Available,187,44.44%, Data Not Available ," $20,512.00 ",Data Not Available
Yeshiva Gedolah Kesser Torah,10952-2127,Monsey,NY,39.62%,Data Not Available,Data Not Available,85,54.55%, Data Not Available , Data Not Available ,Data Not Available
Yeshiva Gedolah Shaarei Shmuel,08701-3623,Lakewood,NJ,40.00%,Data Not Available,Data Not Available,77,77.78%, Data Not Available , Data Not Available ,Data Not Available
Yeshiva Gedolah Zichron Leyma,07083-3618,Union,NJ,78.57%,Data Not Available,Data Not Available,33,16.67%, Data Not Available , Data Not Available ,Data Not Available
Yeshiva Gedolah of Cliffwood,07735-5105,Keyport,NJ,81.82%,Data Not Available,Data Not Available,110,64.29%, Data Not Available , Data Not Available ,Data Not Available
Yeshiva Gedolah of Greater Detroit,48237,Oak Park,MI,92.86%,Data Not Available,Data Not Available,50,31.58%, Data Not Available , Data Not Available ,Data Not Available
Yeshiva Gedolah of Woodlake Village,08701-0000,Lakewood,NJ,82.50%,Data Not Available,Data Not Available,81,50.00%, Data Not Available , Data Not Available ,Data Not Available
Yeshiva Karlin Stolin,11204-1545,Brooklyn,NY,Data Not Available,Data Not Available,Data Not Available,132,50.00%, Data Not Available , Data Not Available ,Data Not Available
Yeshiva Kollel Tifereth Elizer,11219,Brooklyn,NY,62.50%,Data Not Available,Data Not Available,171,50.00%, Data Not Available , Data Not Available ,Data Not Available
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,90046-7660,Los Angeles,CA,72.86%,Data Not Available,Data Not Available,135,14.81%, Data Not Available ," $29,918.00 ",Data Not Available
Yeshiva Ohr Naftoli,12553-8006,New Windsor,NY,100.00%,Data Not Available,Data Not Available,28,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Yeshiva Ohr Yisrael,11229,Brooklyn,NY,87.50%,Data Not Available,Data Not Available,36,33.33%, Data Not Available , Data Not Available ,Data Not Available
Yeshiva Shaar Ephraim,10952-2732,Monsey,NY,Data Not Available,Data Not Available,Data Not Available,83,20.59%, Data Not Available , Data Not Available ,Data Not Available
Yeshiva Shaar Hatorah,11418,Kew Gardens,NY,69.57%,Data Not Available,Data Not Available,88,37.50%, Data Not Available , Data Not Available ,Data Not Available
Yeshiva Shaarei Torah of Rockland,10901-4003,Suffern,NY,66.67%,Data Not Available,Data Not Available,88,Data Not Available, Data Not Available ," $52,565.00 ",Data Not Available
Yeshiva Sholom Shachna,11230,Brooklyn,NY,100.00%,Data Not Available,Data Not Available,96,3.45%, Data Not Available , Data Not Available ,Data Not Available
Yeshiva Toras Chaim,8701,Lakewood,NJ,75.00%,Data Not Available,Data Not Available,213,21.05%, Data Not Available , Data Not Available ,Data Not Available
Yeshiva University,10033-3299,New York,NY,67.41%,28,1288,2619,76.80%," $19,318.00 "," $56,435.00 ",94.65%
Yeshiva Yesoda Hatorah Vetz Chaim,11211-7106,Brooklyn,NY,Data Not Available,Data Not Available,Data Not Available,142,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Yeshiva Yesodei Hatorah,08701-4946,Lakewood,NJ,56.67%,Data Not Available,Data Not Available,52,31.82%, Data Not Available , Data Not Available ,Data Not Available
Yeshiva Zichron Aryeh,11691-0000,Far Rockaway,NY,100.00%,Data Not Available,Data Not Available,28,33.33%, Data Not Available , Data Not Available ,Data Not Available
Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary,11691-5219,Far Rockaway,NY,88.24%,Data Not Available,Data Not Available,43,16.67%, Data Not Available , Data Not Available ,Data Not Available
Yeshiva of Machzikai Hadas,11219-1408,Brooklyn,NY,78.48%,Data Not Available,Data Not Available,457,50.00%, Data Not Available ," $20,654.00 ",Data Not Available
Yeshiva of Nitra Rabbinical College,10918,Chester,NY,Data Not Available,Data Not Available,Data Not Available,172,12.05%, Data Not Available ," $22,621.00 ",Data Not Available
Yeshiva of Ocean,12435-5308,Greenfield Park,NY,25.00%,Data Not Available,Data Not Available,33,83.33%, Data Not Available , Data Not Available ,Data Not Available
Yeshiva of the Telshe Alumni,10471-2897,Riverdale,NY,Data Not Available,Data Not Available,Data Not Available,75,0.00%, Data Not Available , Data Not Available ,Data Not Available
Yeshivah Gedolah Rabbinical College,33139,Miami Beach,FL,Data Not Available,Data Not Available,Data Not Available,47,10.53%, Data Not Available , Data Not Available ,Data Not Available
Yeshivas Be'er Yitzchok,7208,Elizabeth,NJ,100.00%,Data Not Available,Data Not Available,55,20.00%, Data Not Available , Data Not Available ,Data Not Available
Yeshivas Maharit D'Satmar,10950,Monroe,NY,Data Not Available,Data Not Available,Data Not Available,143,42.31%, Data Not Available , Data Not Available ,Data Not Available
Yeshivat Hechal Shemuel,11230-0000,Brooklyn,NY,100.00%,Data Not Available,Data Not Available,70,100.00%, Data Not Available , Data Not Available ,Data Not Available
Yeshivath Beth Moshe,18505-2196,Scranton,PA,83.33%,Data Not Available,Data Not Available,39,76.47%, Data Not Available , Data Not Available ,Data Not Available
Yeshivath Viznitz,10952,Monsey,NY,87.36%,Data Not Available,Data Not Available,638,64.22%, Data Not Available , Data Not Available ,Data Not Available
Yeshivath Zichron Moshe,12779,South Fallsburg,NY,50.00%,Data Not Available,Data Not Available,182,45.45%, Data Not Available , Data Not Available ,Data Not Available
Yo San University of Traditional Chinese Medicine,90066,Los Angeles,CA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
